Rank,Restaurant,Sales,Average Check,City,State,Meals Served,Lat,Long
34,Bottega Louie,18521000,36,Los Angeles,CA,322562,36.778261,-119.417932
40,Original Joe's Westlake,18159612,35,Daly City,CA,473492,36.778261,-119.417932
47,Harris Ranch Inn & Restaurant,17599468,29,Coalinga,CA,611928,36.778261,-119.417932
63,China Live,15106280,54,San Francisco,CA,3.00E+05,36.778261,-119.417932
71,Cliff House,14465847,40,San Francisco,CA,199901,36.778261,-119.417932
72,Castaway Burbank,14407413,60,Burbank,CA,180320,36.778261,-119.417932
79,Paradise Cove Beach Cafe,13654113,39,Malibu,CA,312050,36.778261,-119.417932
80,BOA Steakhouse ,13552485,110,West Hollywood,CA,123204,36.778261,-119.417932
81,Original Joe's,13177468,45,San Francisco,CA,267533,36.778261,-119.417932
87,Scoma's,12713394,65,San Francisco,CA,292000,36.778261,-119.417932
95,Franciscan Crab Restaurant,12218147,59,San Francisco,CA,240000,36.778261,-119.417932
96,George's at the Cove,12194000,80,La Jolla,CA,250000,36.778261,-119.417932
74,Timberline Steaks and Grille,14362103,37,Denver,CO,553378,39.550051,-105.782067
3,Old Ebbitt Grill,29104017,33,Washington,DC,892830,38.905985,-77.033418
13,"Joe's Seafood, Prime Steak & Stone Crab",23660000,86,Washington,DC,277850,38.905985,-77.033418
15,The Hamilton,23138062,33,Washington,DC,700861,38.905985,-77.033418
35,Le Diplomate,18490719,38,Washington,DC,363609,38.905985,-77.033418
42,"Founding Farmers (Washington, D.C.)",17910045,33,Washington,DC,648096,38.905985,-77.033418
88,Farmers Fishers Bakers,12572109,37,Washington,DC,371025,38.905985,-77.033418
92,Farmers & Distillers,12278839,36,Washington,DC,375309,38.905985,-77.033418
94,"Carmine's (Washington, D.C.)",12228168,39,Washington,DC,148135,38.905985,-77.033418
98,Mi Vida,12032014,38,Washington,DC,226226,38.905985,-77.033418
2,The Boathouse Orlando,35218364,43,Orlando ,FL,820819,27.664827,-81.515754
12,Prime 112,23800000,135,Miami Beach,FL,206000,27.664827,-81.515754
19,Komodo,22500000,98,Miami,FL,265000,27.664827,-81.515754
27,Paddlefish,19829500,48,Orlando ,FL,417500,27.664827,-81.515754
33,Shooters Waterfront,18601433,57,Ft. Lauderdale,FL,409752,27.664827,-81.515754
39,Makoto,18216906,54,Bal Harbour,FL,256830,27.664827,-81.515754
53,Rusty Pelican,16981741,98,Miami,FL,182000,27.664827,-81.515754
59,The Rustic Inn,15700000,43,Ft. Lauderdale,FL,371000,27.664827,-81.515754
66,Swan,1.50E+07,78,Miami,FL,225000,27.664827,-81.515754
67,15th Street Fisheries,14978103,69,Fort Lauderdale,FL,356000,27.664827,-81.515754
44,Chops Lobster Bar,17816450,106,Atlanta,GA,168000,32.157435,-82.907123
68,Atlanta Fish Market,14972300,57,Atlanta,GA,274000,32.157435,-82.907123
6,Gibsons Bar & Steakhouse,25409952,80,Chicago,IL,348567,40.633125,-89.398528
8,Maple & Ash,24837595,99,Chicago,IL,210832,40.633125,-89.398528
16,"Joe's Seafood, Prime Steak & Stone Crab",22981600,91,Chicago,IL,252500,40.633125,-89.398528
18,Gibsons Italia,22749232,108,Chicago,IL,252962,40.633125,-89.398528
24,RPM Steak,20853300,102,Chicago,IL,202900,40.633125,-89.398528
26,Gibsons Bar & Steakhouse,19831818,81,Oak Brook,IL,276444,40.633125,-89.398528
30,Bob Chinn's Crab House,18687601,48,Wheeling,IL,625907,40.633125,-89.398528
36,Gibsons Bar & Steakhouse,18483056,79,Rosemont,IL,252419,40.633125,-89.398528
41,Shaw's Crab House,17965500,72,Chicago,IL,270000,40.633125,-89.398528
45,Chicago Cut Steakhouse,17743720,95,Chicago,IL,211000,40.633125,-89.398528
46,Swift & Sons,17637400,119,Chicago,IL,195343,40.633125,-89.398528
60,Harry Caray's Italian Steakhouse,15680000,59,Chicago,IL,287900,40.633125,-89.398528
64,Prime & Provisions,15100000,130,Chicago,IL,116154,40.633125,-89.398528
70,Hugo's Frog Bar & Fish House,14790123,80,Chicago,IL,190616,40.633125,-89.398528
78,Quartino Ristorante & Wine Bar,13854856,32,Chicago,IL,394582,40.633125,-89.398528
83,Siena Tavern,13100000,55,Chicago,IL,238182,40.633125,-89.398528
84,Girl & the Goat,12894700,82,Chicago,IL,183000,40.633125,-89.398528
85,Tavern on Rush,12884000,72,Chicago,IL,178944,40.633125,-89.398528
23,St. Elmo Steak House,21422141,99,Indianapolis,IN,192774,40.551217,-85.602364
86,Harry & Izzy's Circle Centre,12809921,66,Indianapolis,IN,174166,40.551217,-85.602364
52,Abe & Louie's,17063477,106,Boston,MA,160762,42.407211,-71.382437
50,Frankenmuth Bavarian Inn,17388751,19,Frankenmuth,MI,899284,44.314844,-85.602364
58,Zehnder's of Frankenmuth,16063684,17,Frankenmuth,MI,959026,44.314844,-85.602364
11,Angus Barn,24268160,75,Raleigh,NC,315000,35.759573,-79.0193
62,The Lobster House,15450000,43,Cape May,NJ,320000,40.058324,-74.405661
76,Carmine's (Atlantic City),13987843,39,Atlantic City,NJ,129630,40.058324,-74.405661
1,Carmine's (Times Square),39080335,40,New York,NY,469803,43.299428,-74.217933
4,LAVO Italian Restaurant & Nightclub,26916180,90,New York,NY,198500,43.299428,-74.217933
